                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 9.4762,                 10.577,                 8.3502,                  7e-05,                0.00131,                  4e-05,                  3e-05,                 10.146,                 9.0593,                 8.3101,             0.00018337,             0.00018337,             0.00018337
                      2,                 9.3402,                 9.6975,                 8.1953,                  7e-05,                0.00131,                  4e-05,                  3e-05,                 10.119,                 9.0053,                 8.2653,             0.00037961,             0.00037961,             0.00037961
                      3,                 8.3888,                 7.9134,                 7.6867,                  7e-05,                0.00131,                  4e-05,                  3e-05,                   10.1,                 8.6825,                 8.2377,              0.0005719,              0.0005719,              0.0005719
                      4,                 7.0375,                 6.5305,                 6.9363,                  7e-05,                0.00131,                  4e-05,                  3e-05,                 10.104,                 8.3096,                 8.2403,             0.00076022,             0.00076022,             0.00076022
                      5,                 6.7356,                 6.1042,                 6.4246,                0.00015,                0.00131,                  8e-05,                  3e-05,                 9.9385,                 8.2744,                 8.0891,             0.00094458,             0.00094458,             0.00094458
                      6,                 6.4991,                 5.8951,                 5.9372,                0.00014,                0.00131,                  7e-05,                  2e-05,                 10.136,                 8.2856,                 8.3243,               0.001125,               0.001125,               0.001125
                      7,                 6.0673,                 5.5002,                 5.6061,                 0.0001,                0.00131,                  7e-05,                  4e-05,                  6.349,                 7.0573,                 5.7608,              0.0013014,              0.0013014,              0.0013014
                      8,                 6.1518,                 5.2956,                 5.3097,                0.02207,                0.31206,                0.07361,                 0.0238,                 5.9568,                   5.64,                 5.0157,              0.0014739,              0.0014739,              0.0014739
                      9,                 5.8389,                 5.0972,                  4.913,                 0.1345,                0.10183,                0.08056,                 0.0253,                 6.2179,                 5.3049,                 5.0773,               0.001535,               0.001535,               0.001535
                     10,                 5.7763,                  4.941,                 4.7438,                0.62198,                0.10052,                 0.0706,                0.02315,                 6.4875,                 5.3541,                 5.3771,              0.0015185,              0.0015185,              0.0015185
                     11,                 5.7317,                 4.9386,                 4.5952,                0.59131,                0.06005,                0.03598,                 0.0126,                 6.8594,                 6.1317,                 5.7183,               0.001502,               0.001502,               0.001502
                     12,                 5.5419,                 4.7576,                 4.4667,                0.15846,                0.10052,                0.08694,                0.02883,                 5.9991,                 6.1205,                 5.0169,              0.0014855,              0.0014855,              0.0014855
                     13,                 5.6851,                 4.6703,                  4.495,                 0.1345,                0.11386,                0.08207,                  0.023,                 6.4632,                 8.2057,                 5.7962,               0.001469,               0.001469,               0.001469
                     14,                 5.5611,                 4.7133,                 4.4226,                0.63951,                0.13708,                0.09661,                0.03132,                 5.8222,                 5.6763,                 4.6455,              0.0014525,              0.0014525,              0.0014525
                     15,                 5.6416,                 4.6894,                 4.3152,                0.59886,                0.14491,                0.07419,                0.02278,                 5.9155,                 6.4026,                 4.5718,               0.001436,               0.001436,               0.001436
                     16,                 5.6658,                 4.6287,                 4.2688,                 0.6176,                0.16449,                0.08935,                0.02832,                 5.4423,                 8.4012,                 4.2143,              0.0014195,              0.0014195,              0.0014195
                     17,                 5.6704,                 4.5457,                 4.1498,                0.13443,                0.14752,                0.09451,                 0.0292,                 5.3736,                 7.4005,                 4.0645,              0.0014029,              0.0014029,              0.0014029
                     18,                 5.5217,                 4.5556,                 4.0848,                0.10288,                0.18668,                0.08901,                0.02782,                 5.3525,                 8.8186,                 4.0579,              0.0013864,              0.0013864,              0.0013864
                     19,                 5.3914,                 4.5373,                 4.0704,                0.65422,                0.18668,                0.12514,                0.03857,                 5.3654,                 6.5546,                 4.0533,              0.0013699,              0.0013699,              0.0013699
                     20,                 5.3496,                 4.5361,                 4.0064,                0.59745,                0.18016,                0.08649,                0.02726,                 5.3365,                 9.5278,                 4.0775,              0.0013534,              0.0013534,              0.0013534
                     21,                 5.4162,                 4.5994,                 4.1036,                0.58095,                0.18799,                0.07005,                0.02053,                 5.3915,                 6.6153,                  4.034,              0.0013369,              0.0013369,              0.0013369
                     22,                  5.323,                 4.4228,                 3.9028,                0.65428,                0.17363,                0.12266,                0.03844,                 5.2701,                  8.764,                 3.9412,              0.0013204,              0.0013204,              0.0013204
                     23,                 5.3033,                 4.4652,                 3.9895,                0.64099,                0.16662,                0.11611,                0.03647,                 5.3324,                 5.4896,                 3.9856,              0.0013039,              0.0013039,              0.0013039
                     24,                 5.3252,                 4.6078,                 4.0045,                0.69423,                0.19974,                0.16954,                0.05399,                 5.2265,                 4.6783,                 3.8761,              0.0012874,              0.0012874,              0.0012874
                     25,                 5.3274,                 4.5685,                 3.9527,                0.66072,                0.17232,                0.13125,                0.04406,                 5.2938,                 5.1521,                 3.9367,              0.0012709,              0.0012709,              0.0012709
                     26,                 5.2989,                 4.5315,                 3.9274,                0.66039,                 0.1603,                0.11867,                0.03815,                 5.3208,                 5.4053,                  3.965,              0.0012544,              0.0012544,              0.0012544
                     27,                 5.2043,                  4.457,                 3.8672,                0.69773,                0.19713,                0.19508,                0.06967,                 5.1443,                 4.5029,                 3.8237,              0.0012379,              0.0012379,              0.0012379
                     28,                 5.2245,                 4.3978,                 3.8695,                0.68874,                0.15674,                0.15428,                0.05392,                 5.3796,                 4.4672,                 3.9483,              0.0012214,              0.0012214,              0.0012214
                     29,                 5.1903,                 4.4587,                 3.8144,                0.65831,                0.19174,                0.13184,                0.03933,                 5.4061,                 5.3065,                 4.0627,              0.0012049,              0.0012049,              0.0012049
                     30,                 5.2406,                 4.3688,                 3.7536,                0.64795,                0.18668,                0.13381,                0.04131,                 5.4643,                 5.6492,                 4.0228,              0.0011884,              0.0011884,              0.0011884
                     31,                 5.1836,                 4.3455,                 3.7727,                 0.7003,                 0.1671,                0.16892,                0.05548,                  5.255,                  4.576,                 3.8618,              0.0011719,              0.0011719,              0.0011719
                     32,                 5.1894,                 4.2222,                 3.7568,                0.70804,                0.18668,                0.17955,                0.06523,                 5.4023,                 4.2816,                 3.9713,              0.0011554,              0.0011554,              0.0011554
                     33,                 5.1374,                 4.3812,                 3.7973,                0.68141,                0.17885,                0.17256,                0.05845,                 5.2408,                  4.492,                 3.8905,              0.0011389,              0.0011389,              0.0011389
                     34,                 5.1375,                 4.3594,                 3.8266,                0.70337,                0.18799,                   0.19,                 0.0688,                 5.1156,                 4.3968,                 3.7959,              0.0011224,              0.0011224,              0.0011224
                     35,                 5.1007,                 4.3619,                 3.6699,                0.69521,                0.19452,                0.17689,                0.06009,                 5.1753,                 4.6122,                 3.7866,              0.0011059,              0.0011059,              0.0011059
                     36,                 5.1527,                 4.3391,                 3.7069,                0.71111,                0.18668,                 0.1883,                0.06405,                 5.1638,                 4.6609,                 3.7494,              0.0010894,              0.0010894,              0.0010894
                     37,                  5.067,                  4.255,                 3.6265,                0.75759,                0.18407,                0.22176,                0.07396,                 5.0915,                 4.4589,                 3.7051,              0.0010729,              0.0010729,              0.0010729
                     38,                 5.0369,                 4.3691,                 3.7341,                0.69837,                0.19843,                0.20252,                0.06607,                 5.1488,                 4.5811,                 3.7791,              0.0010564,              0.0010564,              0.0010564
                     39,                 5.0023,                 4.3521,                 3.7379,                 0.7405,                0.19964,                0.21943,                0.07795,                 5.0524,                 4.4432,                 3.6867,              0.0010399,              0.0010399,              0.0010399
                     40,                 5.0417,                 4.3022,                 3.6187,                0.70197,                0.19974,                0.20045,                0.06792,                 5.1075,                 4.4904,                 3.7108,              0.0010234,              0.0010234,              0.0010234
                     41,                 5.0386,                  4.252,                 3.6569,                0.69505,                0.20374,                0.18005,                0.05729,                 5.1761,                 4.6102,                  3.744,              0.0010069,              0.0010069,              0.0010069
                     42,                 5.0078,                 4.1375,                  3.557,                0.71882,                0.20104,                0.19019,                0.06275,                 5.1791,                 4.6523,                 3.7595,             0.00099036,             0.00099036,             0.00099036
                     43,                 4.9784,                 4.1443,                 3.5815,                0.72489,                0.20104,                0.21182,                0.07491,                 5.0856,                 4.4145,                 3.7099,             0.00097386,             0.00097386,             0.00097386
                     44,                 5.0596,                 4.3152,                 3.6473,                0.67468,                0.19582,                0.18684,                0.06193,                 5.2061,                 4.7097,                 3.7658,             0.00095736,             0.00095736,             0.00095736
                     45,                  4.986,                 4.2502,                 3.5989,                0.69403,                0.20888,                0.17997,                0.05635,                 5.3178,                 4.8919,                 3.8196,             0.00094085,             0.00094085,             0.00094085
                     46,                 4.9991,                 4.1867,                 3.6376,                0.71175,                0.21018,                0.19225,                0.05985,                 5.2005,                 4.5933,                 3.7309,             0.00092435,             0.00092435,             0.00092435
                     47,                  4.987,                 4.1492,                  3.625,                0.70092,                0.18277,                0.19691,                0.07215,                 5.1167,                 4.3705,                 3.7149,             0.00090785,             0.00090785,             0.00090785
                     48,                 4.9179,                 4.1533,                 3.5875,                0.74458,                 0.1893,                0.21709,                0.07502,                 5.1188,                 4.3924,                 3.6943,             0.00089134,             0.00089134,             0.00089134
                     49,                 4.9679,                 4.0737,                 3.5242,                0.73758,                0.19321,                0.21067,                0.07266,                 5.1394,                 4.2523,                 3.7194,             0.00087484,             0.00087484,             0.00087484
                     50,                  4.897,                 4.0914,                 3.4822,                0.73418,                0.20235,                0.21364,                0.07111,                 5.1652,                 4.3635,                 3.7202,             0.00085834,             0.00085834,             0.00085834
                     51,                 4.9579,                 4.1315,                 3.5328,                0.21828,                0.23919,                0.22327,                0.07736,                 5.0977,                 4.3673,                 3.6671,             0.00084184,             0.00084184,             0.00084184
                     52,                 4.8867,                 4.1512,                 3.5292,                0.73004,                0.20366,                0.22529,                0.07703,                 5.1373,                 4.2808,                 3.6819,             0.00082533,             0.00082533,             0.00082533
                     53,                 4.8955,                 4.0451,                 3.4616,                0.72154,                0.21279,                0.21945,                 0.0766,                 5.0634,                 4.3771,                 3.6698,             0.00080883,             0.00080883,             0.00080883
                     54,                 4.8498,                 4.0383,                 3.4924,                0.68605,                0.19187,                0.19573,                0.06278,                 5.1283,                 4.4185,                 3.7088,             0.00079233,             0.00079233,             0.00079233
                     55,                 4.8719,                 4.0827,                 3.4843,                0.75422,                0.19452,                0.21495,                0.07184,                 5.1063,                 4.4148,                 3.6794,             0.00077582,             0.00077582,             0.00077582
                     56,                 4.9169,                 4.0732,                 3.5736,                0.73878,                0.19713,                0.21852,                 0.0777,                 5.1124,                 4.4278,                 3.6792,             0.00075932,             0.00075932,             0.00075932
                     57,                 4.9288,                 4.0405,                 3.4593,                0.24035,                0.20013,                0.17539,                0.05958,                 5.1182,                  4.697,                 3.6964,             0.00074282,             0.00074282,             0.00074282
                     58,                 4.7908,                 4.0082,                 3.5045,                0.71352,                0.19713,                0.20636,                0.07313,                 5.1027,                 4.3237,                 3.6758,             0.00072631,             0.00072631,             0.00072631
                     59,                 4.7611,                 3.9887,                 3.4596,                0.70886,                0.20229,                 0.2036,                0.07091,                 5.1688,                 4.3773,                 3.6838,             0.00070981,             0.00070981,             0.00070981
                     60,                 4.8251,                 4.0326,                 3.5232,                 0.7176,                0.20823,                0.20372,                0.07547,                 5.0909,                 4.3216,                 3.6911,             0.00069331,             0.00069331,             0.00069331
                     61,                 4.7819,                 4.0483,                 3.4595,                0.35658,                0.22349,                0.20815,                0.07427,                 5.1105,                 4.3681,                 3.7319,              0.0006768,              0.0006768,              0.0006768
                     62,                 4.7825,                 4.0313,                 3.4636,                 0.7187,                0.20888,                0.21634,                 0.0743,                 5.1146,                 4.3884,                 3.6882,              0.0006603,              0.0006603,              0.0006603
                     63,                 4.7706,                 3.9827,                 3.4337,                0.72199,                0.20432,                0.21133,                0.07008,                 5.1382,                 4.4104,                 3.6652,              0.0006438,              0.0006438,              0.0006438
                     64,                 4.8584,                 3.9981,                 3.4434,                0.24325,                0.24339,                0.20923,                0.07624,                 5.0603,                 4.2955,                 3.6386,             0.00062729,             0.00062729,             0.00062729
                     65,                 4.7268,                 3.9752,                 3.4255,                0.25649,                0.25791,                0.20928,                0.07824,                 5.0643,                 4.3274,                 3.6484,             0.00061079,             0.00061079,             0.00061079
                     66,                 4.7176,                 4.0014,                 3.4902,                0.24899,                0.22068,                0.19468,                0.06842,                 5.2618,                 4.4708,                 3.7371,             0.00059429,             0.00059429,             0.00059429
                     67,                 4.6919,                 3.9921,                 3.4388,                0.70609,                0.21018,                0.20713,                0.07254,                 5.1018,                 4.3172,                 3.7047,             0.00057778,             0.00057778,             0.00057778
                     68,                 4.7208,                 3.9253,                  3.412,                0.71993,                 0.2154,                0.21993,                 0.0784,                  5.084,                 4.2576,                 3.6675,             0.00056128,             0.00056128,             0.00056128
                     69,                 4.7557,                 3.9246,                 3.3311,                0.25183,                0.26512,                0.20641,                0.07156,                 5.0865,                 4.4358,                 3.6515,             0.00054478,             0.00054478,             0.00054478
                     70,                 4.7451,                 3.9766,                 3.3921,                0.23746,                0.26399,                0.21993,                 0.0728,                 5.1017,                 4.4322,                 3.6748,             0.00052827,             0.00052827,             0.00052827
                     71,                 4.6525,                 3.9367,                 3.3615,                0.23589,                0.20366,                0.21914,                0.07565,                  5.041,                 4.2661,                 3.6627,             0.00051177,             0.00051177,             0.00051177
                     72,                 4.6961,                 3.9088,                 3.3816,                0.20626,                0.28261,                0.21566,                0.07429,                 5.0895,                 4.3251,                 3.6649,             0.00049527,             0.00049527,             0.00049527
                     73,                 4.6685,                 3.8902,                 3.3817,                0.21655,                0.27891,                0.21656,                0.06966,                 5.1158,                  4.506,                 3.7036,             0.00047876,             0.00047876,             0.00047876
                     74,                 4.6081,                 3.8916,                 3.4582,                 0.2161,                 0.2697,                0.21768,                0.07769,                 5.1516,                 4.2725,                 3.6806,             0.00046226,             0.00046226,             0.00046226
                     75,                 4.6954,                   3.87,                 3.4106,                0.72827,                0.20888,                0.22214,                0.08026,                 5.0688,                 4.2249,                 3.6691,             0.00044576,             0.00044576,             0.00044576
                     76,                 4.5625,                 3.8457,                  3.316,                0.69927,                0.20847,                0.20234,                0.06817,                 5.1163,                 4.4814,                 3.6972,             0.00042925,             0.00042925,             0.00042925
                     77,                 4.5928,                 3.8389,                 3.3228,                0.70589,                0.21671,                0.20636,                0.06751,                 5.1169,                 4.5954,                 3.6833,             0.00041275,             0.00041275,             0.00041275
                     78,                 4.6495,                 3.8793,                 3.3826,                0.24881,                0.29293,                0.22147,                 0.0781,                 5.0857,                 4.2321,                  3.677,             0.00039625,             0.00039625,             0.00039625
                     79,                 4.5327,                 3.8897,                  3.296,                0.26132,                0.26109,                0.21718,                0.07853,                 5.0653,                 4.2897,                 3.6803,             0.00037974,             0.00037974,             0.00037974
                     80,                 4.5765,                 3.8026,                 3.3135,                0.23249,                0.22874,                0.20944,                0.07488,                 5.1277,                 4.4016,                 3.7117,             0.00036324,             0.00036324,             0.00036324
                     81,                 4.5369,                 3.7363,                 3.2754,                0.22884,                0.26075,                0.22225,                0.07852,                 5.1609,                 4.2649,                 3.7297,             0.00034674,             0.00034674,             0.00034674
                     82,                 4.6063,                 3.7795,                 3.3283,                  0.223,                0.28334,                0.22061,                0.07848,                 5.1475,                 4.1344,                 3.7178,             0.00033023,             0.00033023,             0.00033023
                     83,                 4.5478,                  3.824,                 3.3266,                0.24719,                0.27556,                0.22743,                0.07859,                  5.151,                 4.1879,                 3.7233,             0.00031373,             0.00031373,             0.00031373
                     84,                 4.5691,                 3.7378,                 3.3204,                 0.2407,                 0.2986,                0.22632,                0.07773,                 5.1619,                 4.2112,                 3.7178,             0.00029723,             0.00029723,             0.00029723
                     85,                 4.4788,                 3.6849,                 3.2318,                0.23101,                0.28788,                0.22385,                0.07641,                 5.1253,                  4.184,                 3.6942,             0.00028072,             0.00028072,             0.00028072
                     86,                 4.5603,                 3.7819,                 3.2609,                0.24139,                0.29064,                0.23036,                0.07739,                 5.1209,                 4.2484,                 3.6813,             0.00026422,             0.00026422,             0.00026422
                     87,                 4.4187,                 3.6477,                 3.1654,                0.23218,                0.27818,                0.22254,                0.07618,                 5.1315,                 4.2465,                 3.6888,             0.00024772,             0.00024772,             0.00024772
                     88,                  4.473,                 3.7133,                 3.2264,                0.23512,                0.27165,                0.21476,                0.07599,                 5.1139,                 4.2726,                 3.6818,             0.00023121,             0.00023121,             0.00023121
                     89,                 4.4783,                 3.6443,                  3.184,                0.24331,                0.28249,                0.22453,                0.08024,                 5.1213,                 4.2329,                 3.6841,             0.00021471,             0.00021471,             0.00021471
                     90,                 4.4628,                   3.67,                 3.2652,                0.25862,                0.28788,                0.22088,                0.07572,                 5.1216,                  4.211,                 3.6911,             0.00019821,             0.00019821,             0.00019821
                     91,                 4.5015,                 3.8929,                 3.3215,                0.25524,                0.27386,                0.22123,                0.07393,                 5.1708,                 4.2714,                 3.7199,              0.0001817,              0.0001817,              0.0001817
                     92,                 4.3949,                 3.7884,                 3.3138,                0.25627,                0.24957,                0.21854,                0.07756,                 5.1608,                 4.3348,                 3.7062,              0.0001652,              0.0001652,              0.0001652
                     93,                 4.3322,                 3.6967,                 3.2676,                0.26171,                0.25029,                 0.2162,                0.07631,                  5.149,                 4.5129,                 3.7034,              0.0001487,              0.0001487,              0.0001487
                     94,                 4.3448,                  3.763,                 3.2506,                0.26875,                0.26517,                 0.2254,                0.07814,                 5.1401,                 4.4327,                 3.6917,             0.00013219,             0.00013219,             0.00013219
                     95,                 4.2812,                 3.7483,                 3.3151,                0.25039,                0.27701,                0.22957,                0.07772,                 5.1369,                 4.2793,                 3.6808,             0.00011569,             0.00011569,             0.00011569
                     96,                 4.2942,                 3.6492,                  3.234,                0.21583,                0.27682,                0.22031,                0.07581,                  5.172,                 4.2006,                 3.7006,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 4.2922,                 3.6079,                 3.2506,                0.19242,                0.23629,                0.21788,                0.07546,                 5.1735,                 4.2444,                 3.7094,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                 4.2654,                  3.634,                 3.2402,                0.21313,                0.29623,                0.21907,                0.07653,                 5.1809,                 4.2232,                 3.7132,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 4.2733,                 3.6421,                  3.284,                0.21216,                0.29736,                0.22166,                0.07654,                 5.1878,                 4.2436,                 3.7093,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                 4.2172,                 3.5828,                 3.2269,                0.21902,                0.30449,                0.22522,                0.07691,                 5.2009,                 4.2336,                 3.7185,             3.3173e-05,             3.3173e-05,             3.3173e-05
